Index,Sample No,Net Confining Stress (psi),Net Overburden pressure (psi),Bulk Volume (cc),Pore Volume (cc),Porosity,Identical Porosity values,Frequency of porosity values,Relative Porosity (phi / phi ambient),"Air Permability (md), Kair@323 (K)","Klinkenberg Permeability, KL (mD)","Relative Permeability, Kp/K@323 psi (fraction)","Pore Volume Compressibility *1e-06, (psi) -1",RQI,Log (RQI),Phi z,Log (Phi z),FZI,GHE,DRT,Log R35,R35,log fzi,Identical Log (FZI) Values,Abs(Log FZI),Indentical Sum(log(FZI)),Identical Cumulative Frequency,Non Identical Sum(log(FZI)),Non Identical Cumulative Frequency,Identical Frequency,Rock Type
207,5V,Triaxial,100,56.967,4.426,0.0777,,,0.929,4.426,0.0777,0.929,2.35,0.236987175,-0.625275157,0.084245907,-1.07445119,2.813040814,4.426,13,2.070530949,117.6334809,0.44918,,0.44918,,,-64.60211,-3.230105346,,2
208,5V,Triaxial,100,56.961,4.42,0.0776,,,0.928,4.42,0.0776,0.928,1.96,0.236979033,-0.625290078,0.084128361,-1.075057573,2.816874479,4.42,13,2.070667767,117.6705456,0.44977,,0.44977,,,-64.15234,-3.376438917,,2
209,5V,Triaxial,100,56.951,4.412,0.0775,,,0.926,4.412,0.0775,0.926,1.42,0.236917177,-0.625403451,0.08401084,-1.075664672,2.820078652,4.412,13,2.070689005,117.6763001,0.45026,,0.45026,,,-63.70208,-3.539004345,,2
210,5V,Triaxial,100,56.955,4.416,0.0775,,,0.927,4.416,0.0775,0.927,1.66,0.237024549,-0.625206671,0.08401084,-1.075664672,2.82135673,4.416,13,2.070920419,117.7390207,0.45046,,0.45046,,,-63.25162,-3.720683541,,2
211,17H,Hydrostatic,100,56.947,3.124,0.0551,,,0.828,3.124,0.0551,0.828,24.78,0.236433691,-0.626290639,0.058313049,-1.23423425,4.054558878,3.124,13,2.110535101,128.9837804,0.60794,,0.60794,,,-62.64368,-3.915229787,,2
212,17H,Hydrostatic,100,57.435,3.079,0.0543,,,0.817,3.079,0.0543,0.817,11.15,0.236447419,-0.626265422,0.057417786,-1.240953559,4.118017019,3.079,13,2.112317844,129.5143363,0.61469,,0.61469,,,-62.02899,-4.135265897,,2
213,17H,Hydrostatic,100,56.74,3.039,0.0536,,,0.807,3.039,0.0536,0.807,4.23,0.236435456,-0.626287397,0.056635672,-1.246909942,4.174673789,3.039,13,2.113847273,129.9712433,0.62062,,0.62062,,,-61.40837,-4.386311851,,2
214,17H,Hydrostatic,100,56.655,3.017,0.0533,,,0.801,3.017,0.0533,0.801,2.03,0.236240144,-0.626646301,0.056300834,-1.249485168,4.196032726,3.017,13,2.114097974,130.046292,0.62284,,0.62284,,,-60.78553,-4.675809772,,2
215,17H,Hydrostatic,100,56.695,3.021,0.0533,,,0.802,3.021,0.0533,0.802,2.33,0.236396698,-0.626358594,0.056300834,-1.249485168,4.198813398,3.021,13,2.114436318,130.1476461,0.62313,,0.62313,,,-60.1624,-5.013533372,,2
216,17H,Hydrostatic,101,56.633,3.011,0.0532,,,0.8,3.011,0.0532,0.8,1.58,0.236226823,-0.62667079,0.056189269,-1.250346617,4.204126998,3.011,13,2.114294274,130.1050859,0.62368,,0.62368,,,-59.53872,-5.412611331,,2
217,17H,Hydrostatic,100,56.637,3.014,0.0532,,,0.8,3.014,0.0532,0.8,1.78,0.236344476,-0.626454544,0.056189269,-1.250346617,4.20622086,3.014,13,2.11454858,130.1812926,0.62389,,0.62389,,,-58.91483,-5.891483257,,2
218,17H,Hydrostatic,100,56.63,3.009,0.0531,,,0.799,3.009,0.0531,0.799,1.42,0.236370613,-0.626406519,0.056077727,-1.251209595,4.21505336,3.009,13,2.11483058,130.2658508,0.6248,,0.6248,,,-58.29003,-6.476669943,,2
219,22H,Hydrostatic,100,56.627,2.239,0.0418,,,0.714,2.239,0.0418,0.714,40.99,0.229809805,-0.638631446,0.043623461,-1.360279885,5.268032417,2.239,14,2.1291355,134.6280327,0.72165,,0.72165,,,-57.56838,-7.196047632,,0
220,22H,Hydrostatic,101,56.624,2.182,0.0408,,,0.697,2.182,0.0408,0.697,21.57,0.229629108,-0.63897306,0.042535446,-1.371249007,5.398535315,2.182,14,2.13163621,135.4054703,0.73228,,0.73228,,,-56.83611,-8.119443587,,0
221,22H,Hydrostatic,100,54.528,2.122,0.0397,,,0.678,2.122,0.0397,0.678,9.99,0.229565745,-0.639092916,0.041341248,-1.383616422,5.552946721,2.122,14,2.134771285,136.3864689,0.74452,,0.74452,,,-56.09158,-9.348596933,,0
222,22H,Hydrostatic,100,53.576,2.091,0.0391,,,0.669,2.091,0.0391,0.669,6.26,0.229624533,-0.638981714,0.040691019,-1.390501436,5.643125668,2.091,14,2.136727453,137.0021722,0.75152,,0.75152,,,-55.34006,-11.06801238,,0
223,22H,Hydrostatic,100,53.519,2.084,0.039,,,0.667,2.084,0.039,0.667,5.61,0.229533565,-0.639153798,0.040582726,-1.391658781,5.655942459,2.084,14,2.136832036,137.0351677,0.7525,,0.7525,,,-54.58756,-13.64688922,,0
224,22H,Hydrostatic,100,53.459,2.077,0.0389,,,0.665,2.077,0.0389,0.665,5.07,0.229442093,-0.639326904,0.040474456,-1.392818976,5.668812226,2.077,14,2.136936204,137.0680406,0.75349,,0.75349,,,-53.83406,-17.94468827,,0
225,22H,Hydrostatic,101,53.427,2.072,0.0388,,,0.663,2.072,0.0388,0.663,4.62,0.229460883,-0.639291339,0.040366209,-1.393982037,5.684479405,2.072,14,2.137286563,137.178662,0.75469,,0.75469,,,-53.07937,-26.53968706,,0
226,22H,Hydrostatic,101,53.42,2.067,0.0387,,,0.661,2.067,0.0387,0.661,4.23,0.229479769,-0.639255596,0.040257984,-1.395147977,5.700230022,2.067,14,2.137637926,137.2896907,0.75589,,0.75589,,,-52.32348,-52.32348175,,0
