Index,Sample No,Net Confining Stress (psi),Net Overburden pressure (psi),Bulk Volume (cc),Pore Volume (cc),Porosity,Identical Porosity values,Frequency of porosity values,Relative Porosity (phi / phi ambient),"Air Permability (md), Kair@323 (K)","Klinkenberg Permeability, KL (mD)","Relative Permeability, Kp/K@323 psi (fraction)","Pore Volume Compressibility *1e-06, (psi) -1",RQI,Log (RQI),Phi z,Log (Phi z),FZI,GHE,DRT,Log R35,R35,log fzi,Identical Log (FZI) Values,Abs(Log FZI),Indentical Sum(log(FZI)),Identical Cumulative Frequency,Non Identical Sum(log(FZI)),Non Identical Cumulative Frequency,Identical Frequency,Rock Type
118,6H,2400,3871,56.7878,6.6285,0.1167,0.0533,2,0.947,0.856,0.594,0.947,13.72,0.085041537,-1.070368898,0.132118193,-0.879037374,0.64367772,0.856,10,1.498345354,31.50252421,-0.19133,,0.19133,,,-61.49787,-0.564200665,,0
119,6H,2400,3871,56.7878,6.6285,0.1167,0.0532,2,0.947,0.856,0.594,0.947,13.72,0.085041537,-1.070368898,0.132118193,-0.879037374,0.64367772,0.856,10,1.498345354,31.50252421,-0.19133,,0.19133,,,-61.6892,-0.571196334,,0
120,50H,2400,3871,53.7949,3.7371,0.0695,0.0531,1,0.939,0.165,0.104,0.271,18.96,0.048381488,-1.315320782,0.074691026,-1.126731573,0.647755025,0.165,10,1.272405688,18.72430419,-0.18859,,0.18859,,,-61.87779,-0.578297133,,0
121,50H,2400,3871,53.7949,3.7371,0.0695,0.0418,1,0.939,0.165,0.104,0.271,18.96,0.048381488,-1.315320782,0.074691026,-1.126731573,0.647755025,0.165,10,1.272405688,18.72430419,-0.18859,,0.18859,,,-62.06638,-0.58553191,,0
122,46H,800,1290,57.1006,8.0289,0.1406,0.0408,1,0.982,1.65,1.34,0.71,22.68,0.107566976,-0.96832104,0.163602513,-0.786210029,0.657489753,1.65,10,1.596021242,39.44765962,-0.18211,,0.18211,,,-62.24849,-0.592842795,,0
123,26H,3600,5806,54.3955,5.0307,0.0925,0.0397,1,0.944,0.424,0.289,0.642,6.36,0.067226687,-1.17245829,0.101928375,-0.991704901,0.659548309,0.424,10,1.406144667,25.47678761,-0.18075,,0.18075,,,-62.42925,-0.60028122,,0
124,26H,3600,5806,54.3955,5.0307,0.0925,0.0391,1,0.944,0.424,0.289,0.642,6.36,0.067226687,-1.17245829,0.101928375,-0.991704901,0.659548309,0.424,10,1.406144667,25.47678761,-0.18075,,0.18075,,,-62.61,-0.60786408,,0
125,6H,1200,1935,56.9368,6.7775,0.119,0.039,1,0.965,0.971,0.661,0.965,24.59,0.089694494,-1.047234218,0.13507378,-0.869428947,0.664040747,0.971,10,1.523212333,33.35894694,-0.17781,,0.17781,,,-62.78781,-0.615566721,,0
126,6H,1200,1935,56.9368,6.7775,0.119,0.0389,1,0.965,0.971,0.661,0.965,24.59,0.089694494,-1.047234218,0.13507378,-0.869428947,0.664040747,0.971,10,1.523212333,33.35894694,-0.17781,,0.17781,,,-62.96561,-0.623421889,,0
127,6H,800,1290,57.0118,6.8525,0.1202,0.0388,1,0.975,1.021,0.679,0.975,29.92,0.091514579,-1.038509715,0.13662196,-0.86447949,0.66983799,1.021,10,1.532269676,34.06196327,-0.17403,,0.17403,,,-63.13964,-0.63139641,,0
128,6H,800,1290,57.0118,6.8525,0.1202,0.0387,1,0.975,1.021,0.679,0.975,29.92,0.091514579,-1.038509715,0.13662196,-0.86447949,0.66983799,1.021,10,1.532269676,34.06196327,-0.17403,,0.17403,,,-63.31367,-0.639532033,,0
129,6H,Ambient,Ambient,57.2138,7.0545,0.1233,,,1,1.113,0.715,1,-,0.094339961,-1.025304308,0.14064104,-0.85188793,0.670785432,1.113,10,1.544747058,35.05476487,-0.17342,,0.17342,,,-63.48709,-0.647827425,,0
130,6H,Ambient,Ambient,57.2138,7.0545,0.1233,,,1,1.113,0.715,1,-,0.094339961,-1.025304308,0.14064104,-0.85188793,0.670785432,1.113,10,1.544747058,35.05476487,-0.17342,,0.17342,,,-63.6605,-0.656293855,,0
131,26H,2400,3871,54.4465,5.0817,0.0933,,,0.953,0.47,0.317,0.712,11.08,0.070475433,-1.151962245,0.102900629,-0.987581972,0.684888268,0.47,10,1.4292158,26.86679121,-0.16438,,0.16438,,,-63.82488,-0.664842544,,0
132,26H,2400,3871,54.4465,5.0817,0.0933,,,0.953,0.47,0.317,0.712,11.08,0.070475433,-1.151962245,0.102900629,-0.987581972,0.684888268,0.47,10,1.4292158,26.86679121,-0.16438,,0.16438,,,-63.98926,-0.673571206,,0
133,7V,6000,9677,57.0578,11.2178,0.1966,,,0.976,5.81,5.05,0.976,1.85,0.170697027,-0.767774042,0.244709983,-0.611348314,0.697548279,5.81,10,1.79167941,61.89839815,-0.15643,,0.15643,,,-64.14569,-0.68240096,,2
134,7V,6000,9677,57.0578,11.2178,0.1966,,,0.976,5.81,5.05,0.976,1.85,0.170697027,-0.767774042,0.244709983,-0.611348314,0.697548279,5.81,10,1.79167941,61.89839815,-0.15643,,0.15643,,,-64.30212,-0.691420602,,2
135,7V,4800,7742,57.0868,11.2468,0.197,,,0.978,5.86,5.09,0.978,2.44,0.171255821,-0.766354657,0.245330012,-0.610249319,0.698063069,5.86,10,1.793104979,62.10191305,-0.15611,,0.15611,,,-64.45822,-0.70063284,,2
136,7V,4800,7742,57.0868,11.2468,0.197,,,0.978,5.86,5.09,0.978,2.44,0.171255821,-0.766354657,0.245330012,-0.610249319,0.698063069,5.86,10,1.793104979,62.10191305,-0.15611,,0.15611,,,-64.61433,-0.710047546,,2
137,7V,3600,5806,57.1238,11.2838,0.1975,,,0.98,5.93,5.14,0.98,3.19,0.172057435,-0.764326555,0.246105919,-0.608877941,0.699119452,5.93,10,1.795186185,62.40022927,-0.15545,,0.15545,,,-64.76978,-0.71966417,,2
138,7V,3600,5806,57.1238,11.2838,0.1975,,,0.98,5.93,5.14,0.98,3.19,0.172057435,-0.764326555,0.246105919,-0.608877941,0.699119452,5.93,10,1.795186185,62.40022927,-0.15545,,0.15545,,,-64.92522,-0.729496898,,2
139,7V,2400,3871,57.1768,11.3368,0.1983,,,0.984,6.03,5.22,0.984,4.79,0.173151775,-0.761573053,0.247349383,-0.606689169,0.700029136,6.03,10,1.797939754,62.79712403,-0.15488,,0.15488,,,-65.08011,-0.739546679,,2
140,7V,2400,3871,57.1768,11.3368,0.1983,,,0.984,6.03,5.22,0.984,4.79,0.173151775,-0.761573053,0.247349383,-0.606689169,0.700029136,6.03,10,1.797939754,62.79712403,-0.15488,,0.15488,,,-65.23499,-0.74982749,,2
141,7V,1200,1935,57.2618,11.4218,0.1995,,,0.99,6.19,5.35,0.99,7.93,0.174905523,-0.757196477,0.249219238,-0.603418436,0.701813889,6.19,10,1.802363436,63.44003823,-0.15378,,0.15378,,,-65.38877,-0.760334531,,2
142,7V,1200,1935,57.2618,11.4218,0.1995,,,0.99,6.19,5.35,0.99,7.93,0.174905523,-0.757196477,0.249219238,-0.603418436,0.701813889,6.19,10,1.802363436,63.44003823,-0.15378,,0.15378,,,-65.54255,-0.771088797,,2
143,7H,Ambient,Ambient,57.4055,11.5655,0.2015,,,1,6.413,-,1,-,0.177142489,-0.751677257,0.252348153,-0.59799987,0.701976563,6.413,10,1.807658365,64.21823506,-0.15368,,0.15368,,,-65.69623,-0.782097918,,2
144,7V,Ambient,Ambient,57.4055,11.5655,0.2015,,,1,6.413,-,1,-,0.177142489,-0.751677257,0.252348153,-0.59799987,0.701976563,6.413,10,1.807658365,64.21823506,-0.15368,,0.15368,,,-65.8499,-0.793372319,,2
145,7V,800,1290,57 3018,11.4618,0.2,,,0.993,6.26,5.41,0.993,9.44,0.175671705,-0.755298183,0.25,-0.602059991,0.702686821,6.26,10,1.804295792,63.72293808,-0.15324,,0.15324,,,-66.00314,-0.80491635,,2
146,7V,800,1290,57.3018,11.4618,0.2,,,0.993,6.26,5.41,0.993,9.44,0.175671705,-0.755298183,0.25,-0.602059991,0.702686821,6.26,10,1.804295792,63.72293808,-0.15324,,0.15324,,,-66.15638,-0.816745418,,2
147,22H,6000,9677,54.1948,2.8705,0.053,,,0.902,0.084,0.048,0.155,5.17,0.039530413,-1.403068644,0.055966209,-1.252074109,0.706326444,0.084,10,1.201701869,15.91116095,-0.15099,,0.15099,,,-66.30737,-0.828842168,,0
148,26H,1200,1935,54.5415,5.1767,0.0949,,,0.969,0.543,0.356,0.823,20.99,0.075109774,-1.124303543,0.104850293,-0.979430352,0.716352547,0.543,10,1.459704292,28.82068457,-0.14487,,0.14487,,,-66.45225,-0.841167679,,0
149,26H,1200,1935,54.5415,5.1767,0.0949,,,0.969,0.543,0.356,0.823,20.99,0.075109774,-1.124303543,0.104850293,-0.979430352,0.716352547,0.543,10,1.459704292,28.82068457,-0.14487,,0.14487,,,-66.59712,-0.853809228,,0
150,26H,800,1290,54.5905,5.2257,0.0957,,,0.977,0.574,0.376,0.87,25.85,0.076900582,-1.114070375,0.105827712,-0.975400593,0.726658266,0.574,10,1.470732278,29.56189557,-0.13867,,0.13867,,,-66.73579,-0.866698566,,0
151,26H,800,1290,54.5905,5.2257,0.0957,,,0.977,0.574,0.376,0.87,25.85,0.076900582,-1.114070375,0.105827712,-0.975400593,0.726658266,0.574,10,1.470732278,29.56189557,-0.13867,,0.13867,,,-66.87446,-0.879927097,,0
152,26H,Ambient,Ambient,54.7251,5.3603,0.098,,,1,0.66,0.41,1,-,0.081487047,-1.088911422,0.10864745,-0.963980462,0.75001343,0.66,10,1.497472505,31.43927371,-0.12493,,0.12493,,,-66.99939,-0.893325204,,0
153,26H,Ambient,Ambient,54.7251,5.3603,0.098,,,1,0.66,0.41,1,-,0.081487047,-1.088911422,0.10864745,-0.963980462,0.75001343,0.66,10,1.497472505,31.43927371,-0.12493,,0.12493,,,-67.12432,-0.907085423,,0
154,46H,Ambient,Ambient,57.2746,8.2029,0.1432,,,1,2.324,1.724,1,-,0.126495828,-0.897923799,0.16713352,-0.77693644,0.756854924,2.324,10,1.676612073,47.49108297,-0.12099,,0.12099,,,-67.24531,-0.921168612,,0
155,46H,Ambient,Ambient,57.2746,8.2029,0.1432,,,1,2.324,1.724,1,-,0.126495828,-0.897923799,0.16713352,-0.77693644,0.756854924,2.324,10,1.676612073,47.49108297,-0.12099,,0.12099,,,-67.3663,-0.935643,,0
156,50H,1200,1935,53.8999,3.8421,0.0713,,,0.964,0.249,0.168,0.41,27.55,0.05867925,-1.231515443,0.076773985,-1.114785916,0.764311638,0.249,10,1.367895862,23.32898599,-0.11673,,0.11673,,,-67.48303,-0.950465148,,0
157,50H,1200,1935,53.8999,3.8421,0.0713,,,0.964,0.249,0.168,0.41,27.55,0.05867925,-1.231515443,0.076773985,-1.114785916,0.764311638,0.249,10,1.367895862,23.32898599,-0.11673,,0.11673,,,-67.59976,-0.965710787,,0
158,22H,4800,7742,54.2178,2.8935,0.0534,,,0.908,0.102,0.058,0.189,7.99,0.04339694,-1.362540895,0.056412423,-1.248625243,0.769279835,0.102,10,1.248461255,17.71989952,-0.11392,,0.11392,,,-67.71367,-0.981357547,,0
159,50H,800,1290,53.9449,3.8871,0.0721,,,0.974,0.299,0.206,0.492,31.16,0.063943678,-1.19420239,0.077702339,-1.10956591,0.822931184,0.299,10,1.41043859,25.72992913,-0.08464,,0.08464,,,-67.79831,-0.997033929,,0
160,50H,800,1290,53.9449,3.8871,0.0721,,,0.974,0.299,0.206,0.492,31.16,0.063943678,-1.19420239,0.077702339,-1.10956591,0.822931184,0.299,10,1.41043859,25.72992913,-0.08464,,0.08464,,,-67.88294,-1.013178264,,0
161,7H,6000,9677,56.7236,12.0843,0.213,,,0.973,11,9.63,0.973,1.6,0.225650442,-0.646563811,0.27064803,-0.567595129,0.833741305,11,10,1.924618922,84.06571701,-0.07897,,0.07897,,,-67.96191,-1.029725945,,1
162,7H,6000,9677,56.7236,12.0843,0.213,,,0.973,11,9.63,0.973,1.6,0.225650442,-0.646563811,0.27064803,-0.567595129,0.833741305,11,10,1.924618922,84.06571701,-0.07897,,0.07897,,,-68.04088,-1.046782785,,1
163,7H,4800,7742,56.7536,12.1143,0.2135,,,0.975,11.1,9.72,0.975,2.47,0.226408224,-0.645107802,0.271455817,-0.566300848,0.834051841,11.1,10,1.926050144,84.3432135,-0.07881,,0.07881,,,-68.11969,-1.064370125,,1
164,7H,4800,7742,56.7536,12.1143,0.2135,,,0.975,11.1,9.72,0.975,2.47,0.226408224,-0.645107802,0.271455817,-0.566300848,0.834051841,11.1,10,1.926050144,84.3432135,-0.07881,,0.07881,,,-68.19849,-1.082515793,,1
165,7H,Ambient,Ambient,57.1581,12.5188,0.219,,,1,12.203,11.019,1,-,0.234390981,-0.630059104,0.280409731,-0.552206919,0.83588747,12.203,10,1.940698652,87.2365842,-0.07785,,0.07785,,,-68.27635,-1.101231405,,1
